area_sqft,bedrooms,bathrooms,floors,house_age,city_distance_km,location_type,parking,price
3613,5,3.7,3,27,16.1,Rural,Yes,54510688.0
3539,7,5.0,1,33,21.0,Urban,Yes,55288307.0
1278,1,1.0,3,13,19.1,Urban,No,20467100.0
1955,1,1.0,2,1,24.4,Urban,Yes,31260836.0
2366,5,3.6,3,15,17.0,Urban,Yes,39400114.0
2491,6,3.9,1,41,25.3,Suburban,Yes,38333543.0
675,1,1.0,3,35,34.9,Urban,No,10416347.0
2686,3,2.2,1,35,12.9,Suburban,Yes,40298492.0
1117,1,1.0,3,39,1.4,Rural,Yes,17591528.0
3473,5,3.3,2,16,5.3,Urban,Yes,55510352.0
3232,5,3.4,2,14,19.8,Urban,Yes,50928708.0
4190,6,3.8,1,41,12.7,Urban,Yes,64063355.0
3479,6,4.6,2,25,33.0,Suburban,Yes,52813502.0
1966,3,1.5,1,13,22.3,Suburban,Yes,30479183.0
4370,6,3.6,2,12,18.7,Urban,Yes,68186802.0
2143,4,2.6,3,39,28.1,Suburban,No,31691535.0
1803,4,3.0,1,2,9.8,Suburban,Yes,29355311.0
4122,6,3.2,1,2,28.9,Urban,Yes,64635433.0
1981,3,1.3,1,33,1.1,Urban,Yes,31748421.0
805,1,1.0,1,0,22.1,Rural,No,12584637.0
2378,4,2.6,1,7,32.8,Urban,No,37495471.0
3682,4,2.0,1,44,27.8,Urban,No,54739474.0
1257,2,1.1,2,19,30.0,Urban,Yes,20182798.0
2351,3,2.3,1,32,14.5,Suburban,Yes,35936588.0
1019,3,1.6,3,21,29.0,Urban,Yes,17034870.0
3245,5,3.4,3,4,19.7,Urban,Yes,51172659.0
2402,5,3.1,3,8,22.0,Urban,Yes,39797046.0
1820,2,1.6,2,34,3.0,Suburban,Yes,27992188.0
1407,3,2.2,1,4,7.9,Urban,Yes,24674996.0
2757,4,2.3,3,26,19.7,Rural,Yes,41402682.0
3179,4,2.5,1,15,3.0,Urban,Yes,50177962.0
4261,7,5.0,2,16,26.2,Urban,Yes,66820930.0
2248,4,2.8,2,42,29.6,Rural,No,32697449.0
1142,1,1.0,3,27,32.3,Suburban,Yes,17535957.0
3830,5,3.6,2,27,4.5,Urban,No,58725107.0
3019,5,2.7,3,15,33.0,Suburban,Yes,46631368.0
3301,4,3.3,3,17,3.3,Suburban,No,50069061.0
888,1,1.2,2,30,17.1,Urban,No,14469719.0
1749,3,2.1,3,1,29.6,Suburban,Yes,28137709.0
3571,4,2.7,1,10,3.4,Suburban,No,55060733.0
3829,5,3.1,3,27,1.6,Urban,Yes,59589015.0
2240,4,2.9,1,28,1.8,Suburban,Yes,34948051.0
3719,5,3.1,3,4,18.4,Urban,No,57810798.0
3866,4,2.7,2,35,28.6,Urban,Yes,58863597.0
2049,4,3.0,3,24,5.3,Rural,Yes,31229530.0
4092,7,4.3,1,10,5.2,Suburban,Yes,63915649.0
1653,2,1.0,2,33,20.3,Suburban,Yes,25318043.0
1458,1,1.0,3,44,9.0,Suburban,Yes,22271633.0
3229,6,3.4,1,19,25.8,Suburban,Yes,50027294.0
3047,5,2.3,1,12,33.3,Urban,Yes,47457576.0
1059,4,3.0,1,13,27.0,Rural,Yes,16559756.0
3830,6,4.8,1,26,30.8,Suburban,Yes,57550115.0
1299,2,2.0,2,2,18.7,Suburban,Yes,21198136.0
3719,6,3.1,2,21,29.3,Suburban,Yes,56382016.0
529,1,1.0,1,1,7.2,Urban,Yes,10401846.0
3687,6,4.6,1,1,3.3,Urban,Yes,59224506.0
3647,7,4.3,1,19,23.3,Urban,No,57662700.0
3621,5,3.3,3,33,2.8,Urban,No,56627773.0
3159,5,2.2,3,39,31.3,Suburban,Yes,48050229.0
2386,3,2.1,1,3,24.5,Rural,Yes,35241984.0
3320,6,3.4,1,10,33.4,Urban,No,51685686.0
1608,4,2.7,1,18,11.7,Urban,No,26633642.0
3622,5,2.5,3,25,17.5,Suburban,Yes,56077152.0
2722,4,2.9,3,44,26.2,Urban,Yes,42039394.0
2335,4,3.1,3,30,9.3,Rural,Yes,35880163.0
2522,4,2.2,1,24,19.4,Urban,Yes,40150667.0
2774,5,2.7,2,2,23.4,Urban,No,43950785.0
649,1,1.0,1,3,34.3,Urban,Yes,10712921.0
1059,1,1.0,3,6,26.3,Rural,Yes,17123135.0
1481,2,1.0,2,29,5.0,Urban,Yes,23845133.0
958,1,1.0,1,14,17.2,Suburban,No,14845485.0
2258,3,2.2,3,10,21.0,Urban,Yes,36339010.0
3173,4,2.4,2,30,6.0,Urban,No,49514928.0
3117,5,2.7,2,36,15.7,Rural,Yes,46869715.0
2384,5,3.0,1,19,10.7,Urban,Yes,38581458.0
3920,6,4.4,1,39,5.0,Urban,Yes,61178281.0
2760,3,2.3,3,33,18.4,Suburban,Yes,41593030.0
816,1,1.0,1,32,6.6,Rural,No,12860399.0
3559,6,4.2,1,39,21.1,Urban,Yes,55230304.0
2798,4,2.0,3,8,6.8,Urban,Yes,45206019.0
3038,4,2.6,1,34,25.6,Rural,Yes,44773206.0
2761,5,3.3,2,43,7.6,Suburban,Yes,42823656.0
2714,4,2.4,3,44,31.5,Rural,Yes,39829050.0
862,2,1.5,2,26,1.9,Suburban,No,13725769.0
2736,4,2.2,2,33,18.7,Suburban,Yes,41780320.0
3679,6,4.2,1,39,11.9,Urban,Yes,57272547.0
1715,2,1.6,2,38,8.7,Urban,Yes,27993286.0
2911,4,1.1,2,40,17.0,Suburban,Yes,43498985.0
623,1,1.2,2,37,29.6,Suburban,Yes,9212584.0
1889,2,1.0,1,17,32.1,Rural,Yes,27036002.0
2246,2,1.0,1,32,11.3,Suburban,Yes,34649539.0
4430,7,5.0,3,18,6.2,Urban,No,69245366.0
1358,2,1.1,3,36,25.5,Suburban,No,20709035.0
1606,2,1.0,3,36,20.8,Suburban,No,24663973.0
2134,3,1.4,1,42,7.8,Urban,Yes,33505645.0
4470,7,5.0,3,26,26.9,Suburban,Yes,67969635.0
3913,4,1.6,1,21,18.6,Suburban,No,57959431.0
638,1,1.2,2,7,23.2,Urban,Yes,12025494.0
1435,1,1.0,1,28,13.2,Suburban,Yes,21377833.0
3786,7,4.0,3,25,15.9,Suburban,Yes,59115612.0
733,1,1.0,1,23,7.1,Rural,No,10953757.0
3922,7,4.0,3,30,26.7,Urban,Yes,61397310.0
1625,2,1.7,1,38,6.3,Suburban,Yes,25416113.0
4170,6,4.3,3,6,27.5,Suburban,Yes,63839848.0
1674,3,1.1,2,19,28.1,Suburban,Yes,25421812.0
2237,3,1.7,1,32,26.4,Urban,Yes,34931417.0
3147,5,2.8,1,36,1.7,Rural,Yes,47536895.0
1005,1,1.3,3,35,10.3,Rural,Yes,13938333.0
2728,4,1.9,1,35,16.9,Suburban,No,41456140.0
2520,4,3.4,1,38,21.2,Suburban,No,37753282.0
3635,6,3.9,2,43,32.3,Urban,Yes,56181111.0
4484,7,4.0,1,27,13.8,Suburban,No,69013170.0
3157,4,2.3,1,11,30.8,Urban,Yes,48770443.0
2136,1,1.0,2,25,6.6,Suburban,No,32742895.0
2125,4,2.0,3,31,13.6,Urban,Yes,34364509.0
2171,4,2.6,3,4,2.8,Suburban,Yes,36064243.0
3756,5,2.6,3,34,26.2,Urban,Yes,57311652.0
1784,1,1.0,1,24,6.1,Suburban,Yes,27404103.0
1167,2,1.1,2,42,9.7,Suburban,Yes,18667023.0
1837,4,1.7,1,9,27.4,Urban,Yes,29600015.0
590,2,1.0,3,40,19.2,Urban,Yes,11227099.0
924,2,1.0,2,20,1.5,Suburban,Yes,15540582.0
860,1,1.0,1,25,1.1,Suburban,Yes,15125017.0
3586,5,4.3,3,29,18.4,Urban,No,56761189.0
3389,5,3.3,1,26,11.4,Urban,Yes,53218632.0
3287,5,3.4,1,40,7.1,Urban,No,51349971.0
2347,3,1.1,3,7,21.9,Suburban,Yes,36907952.0
3368,7,4.2,2,32,8.8,Suburban,Yes,52324161.0
1145,3,2.1,3,43,21.1,Urban,Yes,18569900.0
4102,7,4.0,2,9,13.9,Suburban,Yes,64406589.0
2504,3,2.4,3,11,7.3,Suburban,Yes,39566695.0
4252,7,3.9,2,21,5.7,Suburban,No,65574673.0
1109,2,1.2,1,32,9.1,Urban,Yes,18555305.0
2489,4,2.3,1,43,2.0,Urban,No,38030781.0
3285,6,4.0,3,35,11.5,Urban,Yes,52093747.0
2482,4,2.3,1,35,31.7,Urban,Yes,37974729.0
2284,4,2.5,2,19,29.3,Urban,Yes,36596532.0
1164,2,1.2,1,29,13.6,Urban,No,19334564.0
2024,3,1.6,1,9,20.6,Urban,Yes,32600306.0
1455,1,1.0,2,20,20.3,Suburban,Yes,22502856.0
1706,3,2.1,1,8,29.2,Urban,Yes,26830794.0
3234,5,3.2,2,1,9.0,Suburban,Yes,51118789.0
3021,4,2.4,3,38,11.1,Urban,No,47231529.0
2928,6,4.3,1,36,11.3,Suburban,No,46001737.0
1947,4,2.5,1,22,2.4,Urban,No,32771894.0
4338,7,4.4,1,0,11.7,Suburban,No,66385948.0
850,2,1.4,3,4,30.8,Suburban,No,13590585.0
1870,4,3.4,2,5,32.0,Urban,Yes,30294980.0
972,2,1.0,2,32,4.7,Suburban,Yes,16062228.0
1855,3,2.3,1,9,16.6,Urban,Yes,30218331.0
4347,6,3.0,3,11,14.0,Suburban,Yes,66872163.0
1965,3,2.1,1,38,17.6,Urban,Yes,31429722.0
4134,6,4.7,3,39,19.9,Urban,Yes,63691564.0
2480,3,2.2,1,34,1.7,Urban,No,38410095.0
3298,5,3.3,3,13,29.6,Rural,No,49094899.0
2329,4,2.3,1,26,34.1,Urban,Yes,36066153.0
1563,4,2.6,1,9,23.2,Suburban,No,24284234.0
3556,6,3.8,2,38,23.5,Urban,Yes,55281143.0
4376,7,4.2,1,3,19.0,Urban,Yes,68445529.0
1554,3,1.8,1,33,12.4,Urban,Yes,24936268.0
3615,6,4.0,2,23,6.1,Rural,Yes,55916495.0
1544,2,1.0,1,34,20.9,Suburban,Yes,23339425.0
3367,4,2.2,2,20,2.5,Urban,Yes,53398691.0
3656,6,3.2,3,7,29.0,Suburban,Yes,56388228.0
2297,3,2.1,1,33,15.3,Urban,Yes,35997012.0
3447,4,2.9,2,28,15.1,Urban,No,52894048.0
1588,3,2.1,1,20,12.1,Suburban,Yes,25296629.0
817,2,1.8,2,16,34.0,Urban,Yes,14319004.0
885,1,1.0,1,15,6.9,Urban,Yes,15287600.0
2288,3,2.1,1,21,6.1,Suburban,Yes,35909085.0
4110,7,4.7,1,11,6.6,Urban,Yes,64720064.0
1010,2,1.3,3,12,23.4,Rural,Yes,15957773.0
2323,4,2.3,1,12,34.7,Suburban,Yes,35319142.0
3316,5,4.4,3,0,9.0,Suburban,Yes,52895256.0
1309,1,1.0,3,41,31.8,Suburban,Yes,19386339.0
3386,4,2.3,2,10,10.5,Rural,Yes,52026429.0
1723,3,2.2,1,7,23.0,Urban,Yes,27540170.0
3734,6,4.0,3,6,2.4,Suburban,Yes,58261920.0
2816,5,2.5,3,44,17.9,Suburban,Yes,43048902.0
2687,5,3.8,1,21,23.3,Rural,Yes,40229825.0
1207,2,1.3,3,14,19.2,Urban,Yes,19774869.0
2352,3,1.4,3,18,9.1,Suburban,Yes,37041498.0
3926,6,4.5,1,3,29.2,Suburban,Yes,60410720.0
578,1,1.0,1,14,34.0,Urban,Yes,9693144.0
3534,5,2.6,3,11,16.6,Rural,Yes,53597667.0
2471,3,2.8,1,36,22.6,Urban,Yes,38031543.0
3377,5,3.6,2,2,27.9,Urban,Yes,53837366.0
3153,4,2.6,1,19,9.2,Suburban,No,47889122.0
2228,3,2.7,3,35,30.4,Urban,No,33868240.0
1734,3,2.0,1,37,10.5,Urban,No,27928223.0
3009,4,2.6,1,23,27.4,Urban,Yes,46416610.0
1060,2,1.0,1,10,4.8,Urban,Yes,19465848.0
2836,5,3.5,1,15,10.8,Suburban,Yes,44291607.0
878,1,1.0,2,10,19.1,Rural,Yes,13749493.0
3099,4,2.6,1,29,18.8,Suburban,Yes,47610889.0
3014,6,3.5,3,13,29.9,Urban,Yes,47704599.0
837,1,1.0,2,28,34.9,Suburban,Yes,12208386.0
3529,4,2.6,1,29,4.6,Rural,Yes,53388915.0
2163,2,1.0,3,42,10.2,Suburban,Yes,33201801.0
3647,6,3.2,2,16,13.2,Urban,Yes,56860325.0
666,1,1.0,3,43,17.3,Urban,No,10634604.0
1217,2,1.0,1,18,17.8,Rural,Yes,17129506.0
2475,5,3.4,3,30,30.1,Rural,Yes,37799224.0
1252,1,1.0,2,29,27.2,Urban,No,19289778.0
1819,3,2.6,3,36,1.6,Suburban,Yes,29071332.0
3142,6,3.7,2,21,16.5,Urban,Yes,49252850.0
1078,1,1.0,3,35,22.0,Urban,Yes,16982854.0
3210,5,3.1,2,15,16.7,Suburban,Yes,49580518.0
913,1,1.0,1,22,5.4,Suburban,Yes,14557153.0
1200,1,1.0,1,22,14.5,Urban,No,19242026.0
2850,4,2.4,3,31,15.0,Rural,No,42949561.0
3673,7,5.0,3,27,7.4,Suburban,No,58497026.0
1182,3,1.5,2,3,26.7,Urban,No,19830592.0
1699,2,1.4,3,36,11.9,Suburban,Yes,26889631.0
4200,7,5.0,1,34,21.0,Suburban,No,63630512.0
4458,7,4.9,1,4,18.5,Suburban,Yes,68204274.0
2824,6,4.9,2,43,30.8,Rural,Yes,42535864.0
2288,3,1.6,2,29,5.1,Suburban,No,34510825.0
1887,3,1.3,3,3,4.9,Urban,No,31120303.0
2949,5,2.8,3,22,11.2,Urban,No,46372896.0
2863,7,4.9,1,37,15.7,Suburban,Yes,44210678.0
1679,3,2.2,3,12,11.2,Rural,Yes,27128311.0
591,1,1.0,2,41,26.9,Urban,Yes,9631797.0
1105,2,1.0,3,18,9.3,Urban,Yes,18426971.0
4334,6,4.3,1,10,3.9,Suburban,No,67219377.0
2172,3,1.3,1,16,15.1,Urban,No,33791924.0
2429,4,3.2,1,23,27.3,Urban,Yes,38730475.0
2368,4,4.0,3,30,29.9,Rural,Yes,35470173.0
3630,6,4.1,1,41,25.9,Suburban,Yes,54939796.0
759,1,1.0,3,8,20.0,Rural,Yes,11992674.0
830,2,1.1,3,43,25.6,Suburban,Yes,13230749.0
1603,3,1.0,1,23,24.2,Urban,No,25584918.0
2446,2,1.0,3,5,9.0,Rural,Yes,37118616.0
3184,5,2.7,1,41,19.7,Urban,No,49136478.0
2462,3,1.2,1,15,27.2,Urban,Yes,38506133.0
2264,2,2.2,2,27,11.8,Rural,No,33654656.0
4251,6,4.0,1,31,23.2,Suburban,Yes,64474904.0
1144,2,1.5,1,0,17.4,Rural,Yes,17156817.0
2786,4,2.4,1,9,18.1,Urban,Yes,44260428.0
2668,5,3.2,2,30,4.1,Rural,No,40866778.0
2393,3,2.4,1,14,23.7,Suburban,No,36170973.0
3730,5,3.2,1,0,30.4,Suburban,Yes,57567195.0
1567,2,1.6,2,1,5.8,Rural,Yes,23961375.0
4315,7,4.5,2,37,13.4,Urban,Yes,67972516.0
1826,3,1.8,3,6,2.7,Suburban,No,29443577.0
2680,3,1.2,1,4,2.0,Suburban,Yes,41918883.0
2582,5,2.3,2,25,34.6,Suburban,Yes,39324030.0
3899,6,3.8,3,5,17.8,Rural,Yes,59003717.0
2255,2,1.3,2,29,13.1,Suburban,Yes,34316476.0
1638,1,1.0,1,24,10.3,Urban,No,25815035.0
586,1,1.0,2,29,34.3,Urban,No,9756701.0
1954,3,2.0,2,22,9.6,Rural,No,29478685.0
3805,6,2.8,1,35,25.7,Rural,No,55362457.0
539,1,1.0,2,29,10.6,Rural,No,7272552.0
4084,6,4.1,1,18,3.4,Urban,Yes,65132609.0
2671,5,3.4,2,0,24.2,Urban,No,42179459.0
1060,1,1.0,3,12,1.1,Suburban,Yes,18433972.0
1708,2,1.4,2,5,24.0,Suburban,Yes,26215661.0
2716,3,2.5,3,0,9.5,Urban,No,43200895.0
1762,3,2.3,1,12,26.4,Suburban,Yes,27755544.0
934,2,1.3,3,9,27.2,Urban,Yes,15863512.0
3163,5,3.0,3,3,25.6,Suburban,Yes,49926797.0
3188,3,1.6,3,14,1.8,Urban,Yes,50272478.0
975,1,1.0,3,22,24.9,Urban,No,16057083.0
1624,2,1.4,2,8,34.7,Urban,Yes,25670177.0
1475,2,1.6,2,12,9.2,Rural,Yes,23137524.0
3137,4,2.7,3,0,10.3,Suburban,Yes,49878357.0
3421,5,3.7,3,2,28.7,Rural,Yes,52042021.0
3407,5,3.3,2,7,6.5,Suburban,Yes,54110871.0
4255,7,4.9,1,20,23.5,Urban,Yes,66013282.0
3574,5,3.7,1,29,26.7,Urban,Yes,55485443.0
1782,2,1.0,1,35,2.3,Suburban,Yes,27792501.0
930,2,1.0,1,28,19.8,Urban,Yes,15084538.0
2958,3,2.7,1,27,20.6,Suburban,Yes,44854014.0
4164,7,4.7,1,42,11.3,Suburban,No,63618715.0
4400,7,3.7,3,11,30.8,Rural,Yes,66230464.0
1420,2,1.0,1,35,6.5,Urban,Yes,23208101.0
1445,3,2.3,2,42,13.4,Suburban,No,22539530.0
649,1,1.0,2,25,29.9,Urban,Yes,10972036.0
1065,3,1.7,1,37,7.5,Urban,Yes,18248640.0
2719,4,3.3,3,6,28.9,Suburban,No,41911195.0
2687,3,1.4,3,39,3.7,Suburban,Yes,41134635.0
1983,3,1.6,3,25,17.6,Suburban,No,30629225.0
1739,2,1.4,3,9,3.6,Urban,No,28278539.0
3819,5,3.4,2,2,24.0,Rural,No,58669064.0
2340,4,2.8,3,32,27.9,Rural,No,34178000.0
3733,6,4.4,1,19,29.9,Suburban,Yes,56883569.0
4352,6,4.0,3,13,34.4,Rural,No,64883616.0
1768,4,2.8,3,17,23.8,Urban,Yes,30148622.0
1310,3,1.8,1,44,27.1,Suburban,Yes,19354739.0
4311,7,4.6,2,19,18.2,Rural,Yes,65854765.0
3039,5,3.3,2,3,32.0,Suburban,Yes,47141277.0
1663,4,2.7,1,12,22.9,Suburban,Yes,26743821.0
2987,3,2.3,3,6,31.0,Suburban,Yes,46115854.0
2560,4,2.9,1,30,9.0,Suburban,Yes,40307123.0
4122,6,3.9,1,36,17.9,Suburban,Yes,62536269.0
1523,2,1.0,1,37,25.8,Urban,No,23415208.0
4465,6,3.9,3,28,7.9,Urban,Yes,68761854.0
4244,6,3.9,1,34,8.2,Suburban,No,64662192.0
1222,3,2.0,2,18,34.3,Suburban,No,18563105.0
1158,2,2.4,3,28,15.8,Suburban,No,18373528.0
2632,4,2.3,1,4,7.2,Rural,Yes,39765183.0
679,1,1.0,3,24,12.3,Suburban,No,11317093.0
1695,3,2.5,1,25,14.5,Urban,No,26495044.0
2240,3,2.0,3,1,22.2,Urban,No,35778328.0
4377,7,5.0,1,24,32.4,Suburban,No,65799772.0
4469,7,4.4,1,32,34.5,Suburban,Yes,67225162.0
1106,3,2.1,3,16,23.2,Suburban,Yes,18828229.0
4066,7,4.2,3,24,24.8,Suburban,No,62609963.0
863,2,1.1,3,12,11.9,Suburban,Yes,15340841.0
3494,4,2.7,3,12,30.1,Suburban,No,53552677.0
3882,6,4.3,2,5,8.4,Suburban,Yes,60384423.0
4063,7,4.7,1,14,4.6,Urban,Yes,65084837.0
1393,3,2.6,1,36,34.1,Suburban,Yes,20582822.0
4073,6,3.9,2,42,30.4,Suburban,Yes,61863445.0
963,2,1.1,2,28,11.3,Urban,No,16030898.0
2575,4,4.0,2,28,24.0,Suburban,Yes,39402865.0
2378,5,3.4,1,27,16.9,Suburban,No,37223711.0
1763,3,1.6,2,21,12.0,Suburban,Yes,28310728.0
588,1,1.0,1,19,10.8,Suburban,No,10060271.0
3588,6,3.4,1,27,5.6,Urban,Yes,56633487.0
1842,1,1.1,1,35,19.7,Urban,Yes,28372981.0
3146,5,3.1,2,18,16.2,Urban,Yes,49947690.0
2140,1,1.0,2,25,18.4,Urban,Yes,33243894.0
1994,2,1.3,1,21,8.3,Suburban,No,30718010.0
4045,7,4.9,2,12,32.9,Suburban,No,62078500.0
877,2,1.0,1,13,22.7,Suburban,Yes,14544353.0
3446,4,2.1,1,3,31.6,Urban,Yes,52351556.0
3487,5,3.4,1,19,4.7,Urban,Yes,54939027.0
2019,4,2.9,2,32,22.2,Urban,Yes,31766369.0
1549,2,1.5,3,30,29.9,Suburban,Yes,23759216.0
521,3,1.5,1,44,12.3,Urban,Yes,10702769.0
4247,7,4.9,1,1,7.6,Suburban,Yes,66220962.0
4290,7,4.2,1,34,10.0,Suburban,No,65652263.0
1463,4,2.3,2,35,10.3,Suburban,Yes,24057319.0
627,1,1.0,3,19,16.2,Urban,Yes,10666625.0
991,1,1.3,1,12,12.1,Urban,Yes,16700350.0
770,1,1.0,2,16,10.2,Suburban,Yes,13084632.0
3824,6,4.2,3,30,23.0,Suburban,Yes,57482352.0
4067,5,3.9,3,38,2.8,Urban,Yes,63024336.0
1113,2,2.7,2,28,12.6,Rural,Yes,17770686.0
3486,5,2.4,3,23,24.5,Suburban,No,53389349.0
1217,3,1.6,3,29,7.0,Suburban,No,19968943.0
1968,3,1.6,3,3,8.5,Urban,No,32599989.0
2897,4,2.2,1,27,7.8,Urban,Yes,45617697.0
3379,5,2.7,1,1,1.0,Urban,Yes,54151428.0
3998,6,3.8,1,43,17.1,Urban,Yes,61528756.0
679,2,1.0,3,40,2.3,Suburban,Yes,11861016.0
1285,1,1.0,2,22,10.3,Suburban,No,19593333.0
1622,2,1.3,1,16,34.8,Rural,No,23765968.0
1741,4,2.8,2,32,32.2,Rural,Yes,26800802.0
4492,7,4.8,1,28,8.3,Urban,Yes,70754361.0
3609,4,2.9,3,31,11.5,Urban,Yes,55915851.0
1781,3,1.8,2,23,16.8,Suburban,Yes,27507702.0
4387,7,5.0,3,10,29.7,Rural,No,67008738.0
2497,3,2.1,1,3,28.3,Rural,Yes,37586658.0
2502,4,1.7,2,12,5.3,Urban,Yes,40506263.0
2234,4,2.1,1,23,5.2,Urban,Yes,35813466.0
1075,2,1.0,3,19,15.2,Urban,Yes,18646649.0
4237,7,4.6,2,22,30.6,Suburban,Yes,64402925.0
555,1,1.0,2,12,31.0,Suburban,No,8968828.0
1197,2,1.1,2,42,4.7,Suburban,Yes,19629599.0
1418,2,2.3,1,16,20.5,Suburban,Yes,23043970.0
1617,2,1.6,3,38,6.3,Urban,Yes,26644736.0
1027,2,1.7,2,17,24.3,Suburban,Yes,15880990.0
571,2,1.0,3,19,32.2,Urban,Yes,10521899.0
3210,6,3.4,1,27,16.5,Suburban,Yes,50660857.0
4377,7,4.6,1,11,3.8,Suburban,Yes,67762025.0
987,1,1.0,3,9,20.7,Suburban,Yes,15961468.0
1686,3,1.0,1,17,14.9,Urban,No,27625286.0
2525,4,2.5,1,36,28.6,Suburban,No,38113010.0
4210,7,4.6,3,6,12.6,Suburban,No,66617870.0
3277,5,3.1,1,19,30.7,Urban,Yes,50465309.0
3564,6,3.5,1,30,10.3,Urban,No,55140010.0
2824,4,2.3,2,31,6.4,Suburban,Yes,44270056.0
2168,3,1.9,1,19,11.4,Urban,Yes,34083055.0
1299,2,1.3,1,3,2.2,Urban,Yes,22282554.0
3957,7,4.9,1,0,10.6,Urban,Yes,62999759.0
3716,6,4.4,1,21,23.4,Urban,No,58137395.0
600,1,1.0,1,36,5.8,Suburban,Yes,10216821.0
3361,6,3.7,3,1,4.8,Suburban,Yes,53686579.0
837,1,1.0,1,39,5.5,Urban,No,13680406.0
3455,6,4.2,1,30,3.6,Suburban,Yes,54437052.0
3803,6,3.7,1,0,30.7,Urban,No,60829721.0
1024,1,1.0,2,15,33.1,Urban,No,16528877.0
2235,5,3.7,3,9,2.6,Urban,No,37313152.0
995,1,1.3,2,42,26.8,Suburban,No,13941862.0
2769,3,2.8,1,24,26.1,Rural,Yes,40699433.0
4210,6,3.5,1,14,34.9,Suburban,Yes,63689030.0
823,1,1.0,2,12,12.8,Urban,No,13993330.0
2090,3,2.0,1,25,10.7,Urban,No,33028365.0
4392,7,4.5,3,0,16.4,Urban,Yes,70165307.0
1703,2,1.0,3,11,30.1,Suburban,Yes,26804525.0
1028,2,1.0,2,7,25.8,Urban,Yes,17388925.0
2454,4,2.6,3,27,17.0,Rural,Yes,36815274.0
2533,4,2.2,1,30,9.3,Suburban,Yes,39803715.0
3151,5,3.3,1,21,25.7,Suburban,No,47898026.0
1754,3,1.6,3,6,30.1,Suburban,No,26437875.0
4322,5,2.7,3,16,14.6,Urban,Yes,67294394.0
2584,4,2.7,1,37,23.7,Suburban,Yes,39726159.0
1645,1,1.0,2,9,14.6,Urban,Yes,25413641.0
4341,7,4.8,1,7,17.3,Suburban,Yes,66840850.0
4199,6,5.0,2,5,18.8,Suburban,Yes,64996196.0
2496,5,3.4,3,36,27.4,Urban,Yes,39923730.0
